PlantType,GSRN,MainEnergy,PriceArea,MunicipalityCode,MeasurepointChildType,MeasurepointType,ProductType,Qnt,TimestampUTC,_dp_datetime_utc
null,null,null,DK1,787,E18,E18,CORR,0.0,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK1,791,E18,E18,null,7.4,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK1,791,E18,E18,CORR,0.0,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK1,810,E18,E18,null,5536.047,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK1,813,E18,E18,null,7.87,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK1,813,E18,E18,CORR,0.0,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK1,820,E18,E18,null,21.19,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK1,820,E18,E18,CORR,0.0,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK1,825,E18,E18,CORR,0.0,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK1,840,E18,E18,null,21.894,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK1,846,E18,E18,null,2.802,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK1,849,E18,E18,null,14.165,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK1,851,E18,E18,null,22.423,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK1,851,E18,E18,CORR,0.0,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK1,860,E18,E18,null,57.352,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK1,860,E18,E18,CORR,0.0,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK1,999,E18,E18,CORR,0.0,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,101,E18,E18,null,11.07,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,147,E18,E18,null,26.71,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,151,E18,E18,null,0.0,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,167,E18,E18,null,9.29,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,169,E18,E18,null,0.0,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,187,E18,E18,null,0.0,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,201,E18,E18,null,0.16,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,217,E18,E18,null,2.27,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,217,E18,E18,CORR,0.0,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,219,E18,E18,null,0.62,2021-08-01T00:00:00.000Z,1627776000000
null,null,null,DK2,219,E18,E18,CORR,0.0,2021-08-01T00:00:00.000Z,1627776000000
